ott_id,key,treeID,correctedID,genusKey,familyKey,speciesKey,scientificNameGBIF,scientifcNameGBIF_genera,Order,Suborder,Infraorder,Family,Genus,Scientific name,Range centroid of latitude,Body mass,Mean clutch size,Freshwater,Marine,Terrestrial,Minimum altitude,Maximum altitude,Migrant,Extent of Occurrence (breeding/resident),Diet,Nocturnal,Forest,GenLength(modeled),Survival,Age at first breeding,Max longevity,chickPC1,hatchlingPC1,BMRnames,BMR.species.OTU,BMR.species.Metabolic.rate.Ryan,BMR.species.Body.Mass,BMR.species.bmr.sd,BMR.species.n.sd,BMR.species.se.sd,BMR.species.cov.sd,BMR.species.sd.bmr.est,BMR.species.sd.mass.est,BMR.species.se.bmr.est.1,BMR.species.se.mass.est.1,BMR.species.se.bmr.est.10,BMR.species.se.mass.est.10,BMR.species.se.bmr.est.20,BMR.species.se.mass.est.20,BMR.species.key
3596438,Coracias cyanogaster,Coracias_cyanogaster_1,Coracias_cyanogaster_1,2475359,9307,2475364,Coracias cyanogaster,Coracias,CORACIIFORMES,CORACIIFORMES,CORACIIFORMES,Coraciidae,Coracias,Coracias cyanogaster,9.5299999999999994,142,NA,1,0,y,0,0,Not a Migrant,3560000,Invertebrate,0,1,3.831987721,NA,NA,NA,-2.472809267,-1.594162859,Coracias cyanogaster,Coracias cyanogaster,NA,142,NA,NA,NA,NA,NA,21.9331811024347,NA,21.9331811024347,NA,6.93588086166567,NA,4.90440839078579,Coracias cyanogaster
711837,Corvus albus,Corvus_albus_1,Corvus_albus_1,2482468,5235,2482519,Corvus albus,Corvus,PASSERIFORMES,PASSERI,CORVOID OSCINES,Corvidae,Corvus,Corvus albus,-1.1000000000000001,524,4,1,0,y,0,0,Not a Migrant,32900000,VertFishScav,0,0,5.117557646,NA,NA,NA,-2.774125749,-1.594162859,Corvus corone,Corvus corone,2.95,516,NA,1,NA,NA,1.53991956244078,101.572744176872,1.53991956244078,101.572744176872,0.486965323076275,32.120121979252,0.344336482149932,22.7123560640681,Corvus albus
842345,Corythaeola cristata,Corythaeola_cristata_1,Corythaeola_cristata_1,2475222,5258,2475223,Corythaeola cristata,Corythaeola,MUSOPHAGIFORMES,MUSOPHAGIFORMES,MUSOPHAGIFORMES,Musophagidae,Corythaeola,Corythaeola cristata,1.56,964.99,2,0,0,y,0,2700,Not a Migrant,8220000,FruiNect,0,1,7.064661344,NA,NA,NA,-0.837927757,-0.431494201,Corythaeola cristata,Corythaeola cristata,NA,964.99,NA,NA,NA,NA,NA,213.671243038562,NA,213.671243038562,NA,67.5687798481253,NA,47.7783424271104,Corythaeola cristata
1012087,Cotinga cayana,Cotinga_cayana_1,Cotinga_cayana_1,5429264,5236,5230383,Cotinga cayana,Cotinga,PASSERIFORMES,TYRANNI,NEW WORLD SUBOSCINES,Cotingidae,Cotinga,Cotinga cayana,-3.31,61.8,NA,0,0,y,0,800,Not a Migrant,7370000,FruiNect,0,1,3.241700338,NA,NA,NA,-1.900016091,-1.20660664,Lipaugus vociferans,Lipaugus vociferans,0.76,86.6,NA,1,NA,NA,0.222073821358048,12.1889769389066,0.222073821358048,12.1889769389066,0.0702259084188779,3.85449294742118,0.049657216057974,2.72553810115724,Cotinga cayana
654722,Crax alector,Crax_alector_1,Crax_alector_1,2482167,5237,2482173,Crax alector,Crax,GALLIFORMES,GALLIFORMES,GALLIFORMES,Cracidae,Crax,Crax alector,2.77,2872,2,0,0,y,0,1400,Not a Migrant,2600000,FruiNect,0,1,7.9814964,NA,NA,NA,1.438408071,1.827260751,Crax daubentoni,Crax daubentoni,7.186,2800,NA,1,NA,NA,5.49019898982581,757.406220507992,5.49019898982581,757.406220507992,1.73615336154052,239.512877078499,1.22764581512512,169.361179563707,Crax alector
3598411,Cryptopipo holochlora,Cryptopipo_aenigma_1,Cryptopipo_holochlora_1,2487691,5270,2487694,Cryptopipo holochlora,Cryptopipo,PASSERIFORMES,TYRANNI,NEW WORLD SUBOSCINES,Pipridae,Cryptopipo,Cryptopipo holochlora,-5.58,14.9,NA,0,0,y,0,1500,Not a Migrant,1140000,NA,0,1,2.534393376,NA,NA,NA,-1.686055339,-1.20660664,Ceratopipra chloromeros,Ceratopipra chloromeros,0.29,16.2,0,2,0,0,0.0561142703598432,1.66396297795779,0.0561142703598432,1.66396297795779,0.0177448903575581,0.526191295254315,0.0125475323032411,0.372073433075659,Cryptopipo holochlora
758347,Crypturellus tataupa,Crypturellus_tataupa_1,Crypturellus_tataupa_1,2477492,9353,2477522,Crypturellus tataupa,Crypturellus,STRUTHIONIFORMES,STRUTHIONIFORMES,STRUTHIONIFORMES,Tinamidae,Crypturellus,Crypturellus tataupa,-18.309999999999999,218.8,4.5,0,0,y,0,1400,Not a Migrant,10600000,Omnivore,0,1,4.051045551,NA,NA,NA,2.332707179,3.017501096,Crypturellus soui,Crypturellus soui,0.77,220.8,0,2,0,0,0.226257672551792,37.0546252521145,0.226257672551792,37.0546252521145,0.0715489583352225,11.7177013640673,0.0505927536256696,8.28566609445083,Crypturellus tataupa
549514,Cuculus saturatus,Cuculus_optatus_1,Cuculus_saturatus_1,2336662,9309,9548093,Cuculus saturatus,Cuculus,CUCULIFORMES,CUCULIFORMES,CUCULIFORMES,Cuculidae,Cuculus,Cuculus saturatus,52.86,87,NA,0,0,y,0,4500,Full Migrant,36600000,Invertebrate,0,1,2.899773264,NA,NA,NA,-2.241130816,-1.594162859,Cuculus canorus,Cuculus canorus,0.839,111.6,0.0014142135623731,2,0.001,1.26721645373933e-05,0.255752624769649,16.4745830716911,0.255752624769649,16.4745830716911,0.0808760811838487,5.20972060081969,0.0571880254408932,3.68382876492686,Cuculus saturatus
662622,Dendrocygna viduata,Dendrocygna_viduata_1,Dendrocygna_viduata_1,2498392,2986,2498396,Dendrocygna viduata,Dendrocygna,ANSERIFORMES,ANSERIFORMES,ANSERIFORMES,Anatidae,Dendrocygna,Dendrocygna viduata,-6.61,689.99,8.5,1,0,y,0,1000,Full Migrant,75400000,PlantSeed,0,0,3.149514342,NA,NA,12,2.301570989,3.017501096,Dendrocygna viduata,Dendrocygna viduata,NA,689.99,NA,NA,NA,NA,NA,143.445519094584,NA,143.445519094584,NA,45.3614560484059,NA,32.0753931763233,Dendrocygna viduata
416108,Deroptyus accipitrinus,Deroptyus_accipitrinus_1,Deroptyus_accipitrinus_1,2479534,9340,2479535,Deroptyus accipitrinus,Deroptyus,PSITTACIFORMES,PSITTACIFORMES,PSITTACIFORMES,Psittacidae,Deroptyus,Deroptyus accipitrinus,-2.14,246,2.5,0,0,y,0,0,Not a Migrant,5470000,PlantSeed,0,1,5.712012326,NA,NA,21.8,-2.628247897,-1.594162859,Myiopsitta monachus,Myiopsitta monachus,0.5189,80.4,NA,1,NA,NA,0.128784655312206,11.159432961635,0.128784655312206,11.159432961635,0.0407252838466274,3.5289225554725,0.0287971243736972,2.49532506925677,Deroptyus accipitrinus
